area_code,area_name,province,city
410200,开封市,,10113154
411100,漯河市,,10113006
410300,洛阳市,,10113009
410900,濮阳市,,10113155
411300,南阳市,,10113012
410400,平顶山市,,10113010
411400,商丘市,,10113014
411200,三门峡市,,10131049
411500,信阳市,,10113007
410700,新乡市,,10113002
411000,许昌市,,10113004
410100,郑州市,,10113001
411600,周口市,,10113008
411700,驻马店市,,10113005
419001,济源市,,
130600,保定市,,10112010
130900,沧州市,,10112005
130800,承德市,,10112009
130400,邯郸市,,10112004
131100,衡水市,,10112002
131000,廊坊市,,10112007
130300,秦皇岛市,,10112008
130100,石家庄市,,10112001
130200,唐山市,,10112006
130500,邢台市,,10112003
130700,张家口市,,10112011
340800,安庆市,,10106011
340300,蚌埠市,,10106003
341600,亳州市,,10106072
341100,滁州市,,10106008
341700,池州市,,10106079
341200,阜阳市,,10106005
340400,淮南市,,10106002
340100,合肥市,,10106001
340600,淮北市,,10106042
341000,黄山市,,10106012
340500,马鞍山市,,10120004
341500,六安市,,10106006
340700,铜陵市,,10106013
341300,宿州市,,10106004
340200,芜湖市,,10106009
341800,宣城市,,10106080
430700,常德市,,10116005
431000,郴州市,,10116011
430400,衡阳市,,10116009
431300,娄底市,,10116007
430500,邵阳市,,10116010
430300,湘潭市,,10116014
433100,湘西土家族苗族自治州,,10116097
430900,益阳市,,10116003
431100,永州市,,10116075
430200,株洲市,,10116002
430800,张家界市,,10116013
430600,岳阳市,,10116004
430100,长沙市,,10116001
431200,怀化市,,10116008
310100,上海市,10103000,-1
420700,鄂州市,,10115004
422800,恩施土家族苗族自治州,,10115009
421100,黄冈市,,10115011
420200,黄石市,,10115002
420800,荆门市,,10115012
421000,荆州市,,10115010
420300,十堰市,,10115007
421300,随州市,,10115062
420600,襄阳市,,10115014
420900,孝感市,,10115013
420100,武汉市,,10115001
421200,咸宁市,,10115006
420500,宜昌市,,10115008
429005,潜江市,,10115071
429021,神农架林区,,
429006,天门市,,10115034
429004,仙桃市,,10115066
230600,大庆市,,10114007
232700,大兴安岭地区,,10114008
230100,哈尔滨市,,10114001
230400,鹤岗市,,10114020
230300,鸡西市,,10114009
231100,黑河市,,10114053
230800,佳木斯市,,10114003
231000,牡丹江市,,10114004
230900,七台河市,,10114067
230200,齐齐哈尔市,,10114005
231200,绥化市,,10114002
230500,双鸭山市,,10114024
230700,伊春市,,10114042
152900,阿拉善盟,,10121090
150800,巴彦淖尔市,,10121094
150200,包头市,,10121003
150400,赤峰市,,10121008
150600,鄂尔多斯市,,10121092
150100,呼和浩特市,,10121001
150700,呼伦贝尔市,,10121093
150300,乌海市,,10121005
150900,乌兰察布市,,10121095
152500,锡林郭勒盟,,10121089
150500,通辽市,,10121011
152200,兴安盟,,10121091
640400,固原市,,10122003
640200,石嘴山市,,10122002
640300,吴忠市,,10122010
640100,银川市,,10122001
640500,中卫市,,10122011
361000,抚州市,,10119010
360700,赣州市,,10119008
360800,吉安市,,10119009
360200,景德镇市,,10119003
360400,九江市,,10119002
360100,南昌市,,10119001
360300,萍乡市,,10119007
361100,上饶市,,10119004
360500,新余市,,10119040
360900,宜春市,,10119006
360600,鹰潭市,,10119005
320400,常州市,,10118005
320800,淮安市,,10118016
320700,连云港市,,10118007
320100,南京市,,10118001
320600,南通市,,10118011
321300,宿迁市,,10118063
320500,苏州市,,10118002
321200,泰州市,,10118051
320200,无锡市,,10118003
320300,徐州市,,10118004
320900,盐城市,,10118009
321000,扬州市,,10118010
321100,镇江市,,10118006
220600,白山市,,10117048
220800,白城市,,10117007
220200,吉林市,,10117002
220400,辽源市,,10117028
220300,四平市,,10117006
220700,松原市,,10117008
220500,通化市,,10117004
222400,延边朝鲜族自治州,,10117049
220100,长春市,,10117001
210500,本溪市,,10120007
210300,鞍山市,,10120004
211300,朝阳市,,10120010
210200,大连市,,10120006
210600,丹东市,,10120008
210900,阜新市,,10120011
210400,抚顺市,,10120003
211400,葫芦岛市,,10120014
210700,锦州市,,10120009
211000,辽阳市,,10120013
211100,盘锦市,,10120012
211200,铁岭市,,10120002
210100,沈阳市,,10120001
210800,营口市,,10120005
371600,滨州市,,10124018
371400,德州市,,10124006
370500,东营市,,10124007
371700,菏泽市,,10124012
370800,济宁市,,10124015
370100,济南市,,10124003
371500,聊城市,,10124005
371200,莱芜市,,10124068
371300,临沂市,,10124013
371100,日照市,,10124016
370200,青岛市,,10124001
370900,泰安市,,10124011
371000,威海市,,10124002
370700,潍坊市,,10124008
370600,烟台市,,10124009
370300,淄博市,,10124004
370400,枣庄市,,10124014
652900,阿克苏地区,,10129010
654300,阿勒泰地区,,10129006
652800,巴音郭楞蒙古自治州,,10129007
652700,博尔塔拉蒙古自治州,,10129089
652300,昌吉回族自治州,,10129017
650500,哈密市,,10129008
653200,和田地区,,10129012
653100,喀什地区,,10129011
653000,克孜勒苏柯尔克孜自治州,,10129088
650200,克拉玛依市,,10129004
654200,塔城地区,,10129086
650400,吐鲁番市,,10129009
650100,乌鲁木齐市,,10129001
654000,伊犁哈萨克自治州,,10129090
659002,阿拉尔市,,10129042
659005,北屯市,,
659008,可克达拉市,,
659009,昆玉市,,
659001,石河子市,,10129002
659007,双河市,,
659006,铁门关市,,
659003,图木舒克市,,10129112
659004,五家渠市,,
120100,天津市,10104000,-1
632600,果洛藏族自治州,,10123002
630200,海东市,,10123045
632500,海南藏族自治州,,10123048
632200,海北藏族自治州,,10123046
632800,海西蒙古族藏族自治州,,10123005
632300,黄南藏族自治州,,10123047
630100,西宁市,,10123001
632700,玉树藏族自治州,,10123003
610900,安康市,,10126007
610300,宝鸡市,,10126006
610700,汉中市,,10126008
611000,商洛市,,10126098
610100,西安市,,10126001
610200,铜川市,,10126010
610400,咸阳市,,10126011
610500,渭南市,,10126002
610600,延安市,,10126003
610800,榆林市,,10126005
542500,阿里地区,,10128006
540300,昌都市,,10128003
540100,拉萨市,,10128001
540400,林芝市,,10128007
542400,那曲地区,,10128002
540500,山南市,,10128004
540200,日喀则市,,10128005
513200,阿坝藏族羌族自治州,,10127007
511900,巴中市,,10127125
510100,成都市,,10127001
511700,达州市,,10127137
510800,广元市,,10127010
511600,广安市,,10127070
510600,德阳市,,10127018
513300,甘孜藏族自治州,,10127009
511100,乐山市,,10127002
513400,凉山彝族自治州,,10127003
510500,泸州市,,10127016
511400,眉山市,,10127056
510700,绵阳市,,10127005
511300,南充市,,10127011
511000,内江市,,10127013
510400,攀枝花市,,10127017
510900,遂宁市,,10127117
511800,雅安市,,10127008
511500,宜宾市,,10127015
512000,资阳市,,10127021
510300,自贡市,,10127014
530500,保山市,,10130010
532300,楚雄彝族自治州,,10130008
532900,大理白族自治州,,10130007
533100,德宏傣族景颇族自治州,,10130128
533400,迪庆藏族自治州,,10130130
532500,红河哈尼族彝族自治州,,10130153
530900,临沧市,,10130009
530100,昆明市,,10130001
530700,丽江市,,10130030
533300,怒江傈僳族自治州,,10130129
530800,普洱市,,10130052
530300,曲靖市,,10130002
532600,文山壮族苗族自治州,,10130005
532800,西双版纳傣族自治州,,10130127
530600,昭通市,,10130003
530400,玉溪市,,10130011
330500,湖州市,,10131005
330100,杭州市,,10131001
330400,嘉兴市,,10131006
330700,金华市,,10131009
331100,丽水市,,10131010
330200,宁波市,,10131003
330800,衢州市,,10131011
330600,绍兴市,,10131004
331000,台州市,,10131012
330300,温州市,,10131002
330900,舟山市,,10131015
710100,台北市,,
710200,高雄市,,
710300,台南市,,
710400,台中市,,
710500,金门县,,10107082
710600,南投县,,
710700,基隆市,,
710800,新竹市,,
710900,嘉义市,,
711100,新北市,,
711200,宜兰县,,
711300,新竹县,,
711400,桃园县,,
711500,苗栗县,,
711700,彰化县,,
711900,嘉义县,,10120031
712100,云林县,,
712400,屏东县,,
712500,台东县,,
712600,花莲县,,
712700,澎湖县,,
712800,连江县,,10107018
500100,重庆市,10105000,-1
820100,澳门,,
810100,香港,,
